电影名,导演,评分,评价人数,评价
借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),米林宏昌 Hiromasa Yonebayashi,8.9,626026人,曾经的那段美好会沉淀为一辈子的记忆。
入殓师/おくりびと/礼仪师之奏鸣曲(港)/礼仪师(台),泷田洋二郎 Yôjirô Takita,8.9,741590人,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
菊次郎的夏天/菊次郎の夏/菊次郎之夏/Kikujirô no natsu,北野武 Takeshi Kitano,8.9,671848人,N/A
断背山/Brokeback Mountain/断臂山/BBM,李安 Ang Lee,8.8,780794人,每个人心中都有一座断背山。
剪刀手爱德华/Edward Scissorhands/幻海奇缘(港)/剪刀手爱德华,蒂姆·波顿 Tim Burton,8.7,1118552人,N/A
勇敢的心/Braveheart/惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),梅尔·吉布森 Mel Gibson,8.9,604503人,N/A
时空恋旅人/About Time/回到最爱的一天(港)/真爱每一天(台),理查德·柯蒂斯 Richard Curtis,8.8,789842人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
驯龙高手/How to Train Your Dragon/驯龙记(港),迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,8.8,862495人,和谐的生活离不开摸头与被摸头。
消失的爱人/Gone Girl/失踪的女孩/失踪女孩,大卫·芬奇 David Fincher,8.7,1070320人,年度最佳date movie。
无人知晓/誰も知らない/谁知赤子心(港)/无人知晓的夏日清晨(台),是枝裕和 Hirokazu Koreeda,9.1,371215人,我的平常生活就是他人的幸福。
倩女幽魂//倩女幽魂(87版)/倩女幽魂：妖魔道,程小东 Siu-Tung Ching,8.8,833984人,N/A
傲慢与偏见/Pride & Prejudice/傲慢与偏见2005/Pride And Prejudice,乔·怀特 Joe Wright,8.7,929987人,爱是摈弃傲慢与偏见之后的曙光。
花样年华/花樣年華/花样年华导演特别版/花样年华4K修复版,王家卫 Kar Wai Wong,8.8,802210人,N/A
新世界/신세계/暗黑新世界(台)/New World,朴勋政 Hoon-jung Park,8.9,525542人,要做就做得狠一点，这样才能活下去。
玩具总动员3/Toy Story 3/反斗奇兵3(港)/玩具的故事3,李·昂克里奇 Lee Unkrich,8.9,590913人,跨度十五年的欢乐与泪水。
完美的世界/A Perfect World/强盗保镳,克林特·伊斯特伍德 Clint Eastwood,9.1,359331人,N/A
一个叫欧维的男人决定去死/En man som heter Ove/明天别再来敲门(台)/想死冇咁易(港),汉内斯·赫尔姆 Hannes Holm,8.9,567057人,惠及一生的美丽。
阳光灿烂的日子//In the Heat of the Sun,姜文 Wen Jiang,8.8,694202人,N/A
色，戒//色|戒/色·戒,李安 Ang Lee,8.7,958052人,假戏真情，爱欲深海
小森林 夏秋篇/リトル・フォレスト 夏・秋/小森食光/夏秋篇(台),森淳一 Junichi Mori,9.0,472403人,那些静得只能听见呼吸的日子里，你明白孤独即生活。
"怪兽电力公司/Monsters, Inc./怪兽公司(港)/怪物公司",彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,8.8,768421人,N/A
天使爱美丽/Le Fabuleux destin d'Amélie Poulain/艾蜜莉的异想世界(台)/天使艾米莉,让-皮埃尔·热内 Jean-Pierre Jeunet,8.7,1019554人,N/A
教父3/The Godfather: Part III/教父第三集/教父 III,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.0,431052人,N/A
侧耳倾听/耳をすませば/心之谷(台)/梦幻街少女(港),近藤喜文 Yoshifumi Kondo,8.9,519497人,N/A
哪吒闹海//Prince Nezha's Triumph Against Dragon King/Nezha Conquers the Dragon King,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,9.2,307498人,N/A
九品芝麻官//九品芝麻官之白面包青天/Hail the Judge,王晶 Jing Wong,8.8,791881人,N/A
请以你的名字呼唤我/Call Me by Your Name/以你的名字呼唤我(港/台),卢卡·瓜达尼诺 Luca Guadagnino,8.8,821961人,沉醉在电影的情感和视听氛围中无法自拔。
被解救的姜戈/Django Unchained/被解放的姜戈/决杀令(台),昆汀·塔伦蒂诺 Quentin Tarantino,8.8,690275人,热血沸腾，那个低俗、性感的无耻混蛋又来了。
幸福终点站/The Terminal/机场客运站(港)/航站情缘(台),史蒂文·斯皮尔伯格 Steven Spielberg,8.8,640557人,有时候幸福需要等一等。
釜山行/부산행/尸杀列车(港)/尸速列车(台),延尚昊 Sang-ho Yeon,8.6,1347159人,揭露人性的丧尸题材力作。
神偷奶爸/Despicable Me/卑鄙的我/坏蛋奖门人(港),皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,8.7,1044679人,Mr. I Don't Care其实也有Care的时候。
小森林 冬春篇/リトル・フォレスト 冬・春/小森食光/冬春篇(台),森淳一 Junichi Mori,9.0,419771人,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
喜宴/囍宴/The Wedding Banquet,李安 Ang Lee,9.0,430210人,N/A
萤火之森/蛍火の杜へ/萤火之社/Hotarubi no mori e,大森贵弘 Takahiro Omori,8.8,609353人,触不到的恋人。
告白//自白/母亲,中岛哲也 Tetsuya Nakashima,8.8,742376人,没有一人完全善，也没有一人完全恶。
玛丽和麦克斯/Mary and Max/玛丽和马克思/巧克力情缘(台),亚当·艾略特 Adam Elliot,9.0,469662人,你是我最好的朋友，你是我唯一的朋友 。
七武士/七人の侍/七侠四义(港)/七剑客(港),黑泽明 Akira Kurosawa,9.3,234829人,N/A
头号玩家/Ready Player One/玩家一号/挑战者1号(港),史蒂文·斯皮尔伯格 Steven Spielberg,8.6,1513867人,写给影迷，动漫迷和游戏迷的一封情书。
模仿游戏/The Imitation Game/解码游戏(港)/模拟游戏,莫滕·泰杜姆 Morten Tyldum,8.8,718807人,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
惊魂记/Psycho/精神病患者/触目惊心(港),阿尔弗雷德·希区柯克 Alfred Hitchcock,9.0,355318人,N/A
大鱼/Big Fish/大鱼奇缘(港)/大智若鱼(台),蒂姆·波顿 Tim Burton,8.8,625934人,N/A
心灵奇旅/Soul/灵魂奇遇记(港)/灵魂急转弯(台),彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,8.7,1139714人,N/A
射雕英雄传之东成西就/射鵰英雄傳之東成西就/东成西就/大英雄 (日本),刘镇伟 Jeffrey Lau,8.7,716851人,N/A
血战钢锯岭/Hacksaw Ridge/钢锯岭/钢铁英雄(台),梅尔·吉布森 Mel Gibson,8.7,858297人,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
"背靠背，脸对脸//背对背，脸对脸/Back to Back, Face to Face",黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,9.5,179068人,N/A
你的名字。/君の名は。/你的名字/君之名,新海诚 Makoto Shinkai,8.5,1589880人,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
